"","black_PAIR","native_american_PAIR","asian_PAIR","pacific_islander_PAIR","ID","black_PAAD","native_american_PAAD","asian_PAAD","pacific_islander_PAAD","Year","State","black_CAP","asian_CAP","pacific_islander_CAP","native_american_CAP","black_per_pop","asian_per_pop","pacific_islander_per_pop","native_american","black_PAIMI","native_american_PAIMI","asian_PAIMI","pacific_islander_PAIMI"
"100",0.14286,0.02857,0,0,"West Virginia, 2016",0.04938,0.02469,0,0,2016,"West Virginia",0.0952,0,0,0,0.0347,0.0083,2e-04,0.0021,0.13462,0.01923,0,0.01923
"101",0.23704,0,0,0.54815,"Wisconsin, 2016",0.12022,0.00546,0.01639,0,2016,"Wisconsin",0.2339,0.0058,0,0.0117,0.0636,0.0283,4e-04,0.0088,0.16522,0.0087,0.01739,0.0087
"102",0.07143,0,0,0,"Wyoming, 2016",0,0.04167,0.02083,0,2016,"Wyoming",0,0.0556,0,0,0.0111,0.0092,7e-04,0.0211,0,0.07407,0.03704,0.07407
"103",0.44615,0,0,0,"Alabama, 2015",0.32558,0,0.00465,0,2015,"Alabama",0.1429,0.0357,0,0,0.2645,0.0135,5e-04,0.0056,0.48867,0,0.00324,0
"104",0.06536,0.16993,0.02614,0.01961,"Alaska, 2015",NA,NA,NA,NA,2015,"Alaska",0.0833,0,0,0,0.0328,0.0598,0.0122,0.1448,0.08247,0.17526,0.03093,0
"105",0.07584,0.01124,0.00562,0.00562,"Arizona, 2015",0.09137,0.03046,0.01354,0.00677,2015,"Arizona",0.1855,0.0161,0,0.04032,0.0414,0.032,0.0018,0.0403,0.08658,0.0303,0.01299,0
"106",0.24658,0,0,0.0137,"Arkansas, 2015",0.29381,0.00515,0.00515,0,2015,"Arkansas",0.4194,0,0,0,0.1543,0.015,0.0027,0.0073,0.37391,0.0087,0,0
"107",0.15983,0.00903,0.04378,0.00208,"California, 2015",NA,NA,NA,NA,2015,"California",0.2242,0.0484,0.0089,0.01529,0.0568,0.1402,0.0037,0.0042,0.20197,0.01847,0.03571,0.01108
"108",0.03333,0,0,0,"Colorado, 2015",0.05932,0,0,0,2015,"Colorado",0.1667,0,0,0,0.0397,0.0309,0.0013,0.0063,0.41935,0.01075,0,0
"109",0.11364,0,0.02273,0,"Connecticut, 2015",0.05325,0,0,0,2015,"Connecticut",0.1538,0.0769,0,0,0.0994,0.0447,4e-04,0.0022,0.2,0,0.01739,0
"110",0.35606,0.00758,0.01515,0,"Delaware, 2015",0.38889,0,0,0,2015,"Delaware",0.5,0,0,0,0.2147,0.0382,4e-04,0.0031,0.4,0,0.00625,0
"111",1,0,0,0,"District of Columbia, 2015",0.91045,0,0,0,2015,"District of Columbia",0.7,0,0,0,0.4684,0.0394,4e-04,0.002,0.78049,0.00813,0.00813,0
"112",0.13211,0.01284,0.0055,0,"Florida, 2015",0.13712,0.01182,0.00473,0.00473,2015,"Florida",0.2948,0.0173,0.0058,0.00578,0.1559,0.0267,6e-04,0.0025,0.34667,0.00889,0.00889,0.00444
"113",0.41129,0,0.01613,0,"Georgia, 2015",NA,NA,NA,NA,2015,"Georgia",0.2797,0.0169,0,0,0.31,0.0385,6e-04,0.0023,0.448,0,0.024,0
"114",0.01515,0,0.22727,0.39394,"Hawaii, 2015",NA,NA,NA,NA,2015,"Hawaii",0.0128,0.2436,0.0256,0,0.0188,0.3654,0.0949,0.0022,0.04098,0,0.16803,0.12705
"115",0,0.02439,0.0122,0,"Idaho, 2015",0,0.01351,0,0.01351,2015,"Idaho",0.0357,0.0357,0.0357,0.03571,0.0068,0.0136,0.0016,0.0112,0.0241,0.03614,0.01205,0.01205
"116",0.31912,0.00474,0.02054,0,"Illinois, 2015",0.27727,0,0.02576,0.00303,2015,"Illinois",0.3165,0,0,0.00719,0.1417,0.0535,3e-04,0.0015,0.35362,0.02899,0.02319,0
"117",0.18692,0,0,0,"Indiana, 2015",0.13559,0,0,0,2015,"Indiana",0.1304,0,0,0,0.093,0.021,3e-04,0.0023,0.18675,0.00602,0,0
"118",0.06849,0.0137,0,0,"Iowa, 2015",0.02041,0.02041,0,0,2015,"Iowa",0.0286,0.0286,0,0.05714,0.0342,0.0238,9e-04,0.0029,0.06667,0.01111,0.01111,0.01111
"119",0.09239,0.00543,0.00272,0.00272,"Kansas, 2015",0.05714,0.00714,0.01429,0,2015,"Kansas",0.2051,0,0,0.01282,0.0582,0.0289,8e-04,0.0079,0.11475,0.02459,0.00615,0.00205
"120",0.23256,0,0,0,"Kentucky, 2015",0.07273,0.00455,0.01364,0,2015,"Kentucky",0.2308,0,0,0,0.0801,0.0142,6e-04,0.0021,0.20476,0,0,0.00476
"121",0.43307,0.01575,0.00787,0,"Louisiana, 2015",0.39815,0,0.00463,0,2015,"Louisiana",0.51,0,0,0.02,0.321,0.0169,4e-04,0.0064,0.48333,0,0,0
"122",0.01111,0,0.01111,0,"Maine, 2015",0.30996,0,0.02214,0,2015,"Maine",0,0,0.0123,0,0.0141,0.0116,3e-04,0.0064,0.02372,0.03557,0.00395,0
"123",0.66456,0,0.01899,0,"Maryland, 2015",NA,NA,NA,NA,2015,"Maryland",0.4248,0,0,0,0.2954,0.0626,5e-04,0.0024,0.54615,0,0.00769,0
"124",0.09016,0,0.01639,0,"Massachusetts, 2015",0.12295,0.0123,0.02049,0,2015,"Massachusetts",0.1769,0.0538,0,0.00769,0.0694,0.0641,4e-04,0.0018,0.16535,0,0.0315,0.00787
"125",0.27586,0.01724,0.01724,0,"Michigan, 2015",0.38746,0.00855,0,0,2015,"Michigan",0.4016,0,0,0,0.1388,0.0299,3e-04,0.0056,0.26667,0,0.01111,0
"126",0.18359,0.01562,0.05078,0,"Minnesota, 2015",0.11551,0.06931,0.0099,0,2015,"Minnesota",0.0755,0,0,0,0.0594,0.0474,4e-04,0.0107,0.19553,0.06704,0.01117,0
"127",0,0,0.46296,0.48148,"Mississippi, 2015",0.43333,0,0.01333,0,2015,"Mississippi",0.3478,0.0435,0,0,0.373,0.0102,3e-04,0.0049,0.6,0.0087,0.01739,0
